t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended
136,8011,6509,1502,9247,2783,0.30096,336,352,360,59,1,0,0,0,63.97,0.39,2,120,63.97,0,0,0,0
137,8018,6518,1500,9031,2072,0.22943,336,352,368,68,1,0,0,0,63.97,0.41,2,120,63.97,0,0,0,0
138,8014,6512,1502,8482,1875,0.22106,336,352,360,352,1,1,0,0,58.72,0.45,7,119,58.74,2144,0,0,0
139,8013,6506,1507,8240,2071,0.25133,320,352,360,57,1,0,0,0,63.97,0.17,3,119,63.97,0,0,0,0
140,8004,6504,1500,9488,3081,0.32473,328,352,360,64,1,0,0,0,63.97,0.04,1,119,63.97,0,0,0,0
141,8020,6516,1504,8869,2244,0.25302,320,344,360,61,1,0,0,0,63.97,0.05,1,119,63.97,0,0,0,0
142,8087,6572,1515,9575,2067,0.21587,336,352,360,2240,1,1,0,0,55.70,0.20,5,118,55.70,1003,0,0,0
143,8085,6568,1517,9723,2097,0.21567,320,352,360,62,1,0,0,0,63.96,0.14,1,118,63.96,0,0,0,0
144,8012,6509,1503,8481,2000,0.23582,336,352,360,64,1,0,0,0,63.96,0.16,2,118,63.96,0,0,0,0
145,8050,6541,1509,9390,1955,0.20820,336,352,360,63,1,0,0,0,63.96,0.03,1,118,63.96,0,0,0,0
146,8026,6525,1501,9557,2182,0.22831,336,352,360,1536,1,1,0,0,63.96,0.46,7,117,63.96,946,0,0,0
147,8013,6508,1505,9631,2035,0.21130,320,344,360,480,1,0,0,0,63.96,0.03,1,117,63.96,0,0,0,0
148,8004,6503,1501,9286,1933,0.20816,336,352,360,74,1,0,0,0,63.96,0.02,1,117,63.96,0,0,0,0
149,8085,6568,1517,9887,2444,0.24719,328,352,360,1280,1,1,0,0,61.19,0.21,6,116,61.21,957,0,0,0
150,8086,6570,1516,8673,2111,0.24340,320,344,352,60,1,0,0,0,63.96,0.76,6,116,63.96,0,0,0,0
151,8021,6517,1504,8414,2113,0.25113,336,352,360,66,1,0,0,0,63.96,0.02,3,116,63.96,0,0,0,0
152,8010,6508,1502,9769,2243,0.22960,328,352,360,70,1,0,0,0,63.96,0.20,2,116,63.96,0,0,0,0
153,8009,6510,1499,9579,1976,0.20628,320,352,360,944,1,1,0,0,61.67,0.51,9,115,61.69,2197,0,0,0
154,8006,6503,1503,9743,2197,0.22550,328,344,360,752,1,0,0,0,63.96,0.55,5,115,63.96,0,0,0,0
155,8013,6515,1498,9424,2757,0.29255,320,344,360,56,1,0,0,0,63.96,0.53,3,115,63.96,0,0,0,0
156,8012,6506,1506,8448,2021,0.23923,336,352,360,63,1,0,0,0,63.96,0.13,1,115,63.96,0,0,0,0
157,8010,6509,1501,7836,2272,0.28994,328,352,360,1056,1,1,0,0,56.37,0.32,6,114,56.39,1332,0,0,0
158,8005,6502,1503,9422,2109,0.22384,320,344,360,2048,1,0,1,0,63.96,0.09,2,115,63.96,0,0,0,0
159,8088,6571,1517,10177,2543,0.24988,328,352,376,60,1,0,0,0,63.97,0.00,0,115,63.97,0,0,0,0
160,8001,6504,1497,10169,2531,0.24889,320,344,368,2688,1,1,0,0,55.52,0.02,3,114,55.54,415,0,0,0
161,8085,6566,1519,8691,2243,0.25808,320,344,360,2752,1,0,0,0,63.97,0.04,2,114,63.97,0,0,0,0
162,8075,6561,1514,8947,2023,0.22611,336,352,624,2112,1,1,0,0,63.96,0.26,7,124,63.96,2287,0,0,0
163,8021,6517,1504,8676,2935,0.33829,320,352,360,52,1,0,0,0,63.97,0.02,1,124,63.97,0,0,0,0
164,8011,6509,1502,7943,1910,0.24046,336,352,368,54,1,0,0,0,63.97,0.02,1,124,63.97,0,0,0,0
165,8090,6580,1510,9544,2220,0.23261,336,352,376,63,1,0,0,0,63.97,0.00,0,124,63.97,0,0,0,0
166,8038,6526,1512,9659,2038,0.21099,328,352,360,1856,1,1,0,0,60.40,0.27,4,123,60.40,1319,0,0,0
167,8009,6507,1502,9393,1844,0.19632,336,352,368,106,1,0,0,0,63.97,0.22,2,123,63.97,0,0,0,0
168,8032,6525,1507,8898,2240,0.25174,320,352,360,63,1,0,0,0,63.97,0.27,2,123,63.97,0,0,0,0
169,8016,6513,1503,9660,2287,0.23675,328,352,368,68,1,0,0,0,63.97,0.02,1,123,63.97,0,0,0,0
